date,price
2024-12-12,0.6247
2024-12-13,0.6216
2024-12-14,0.6009
2024-12-15,0.6162
2024-12-16,0.5927
2024-12-17,0.5664
2024-12-18,0.5157
2024-12-19,0.4746
2024-12-20,0.499
2024-12-21,0.4729
2024-12-22,0.473
2024-12-23,0.5008
2024-12-24,0.5283
2024-12-25,0.5139
2024-12-26,0.4759
2024-12-27,0.4791
2024-12-28,0.4876
2024-12-29,0.4647
2024-12-30,0.46
2024-12-31,0.4506
2025-01-01,0.4725
2025-01-02,0.4834
2025-01-03,0.5188
2025-01-04,0.5225
2025-01-05,0.516
2025-01-06,0.5243
2025-01-07,0.4697
2025-01-08,0.4639
2025-01-09,0.4484
2025-01-10,0.4577
2025-01-11,0.4595
2025-01-12,0.4499
2025-01-13,0.4393
2025-01-14,0.4554
2025-01-15,0.4871
2025-01-16,0.4734
2025-01-17,0.5071
2025-01-18,0.4827
2025-01-19,0.445
2025-01-20,0.4413
2025-01-21,0.4528
2025-01-22,0.4419
2025-01-23,0.442
2025-01-24,0.4326
2025-01-25,0.4345
2025-01-26,0.4345
2025-01-27,0.4152
2025-01-28,0.3904
2025-01-29,0.3946
2025-01-30,0.4114
2025-01-31,0.4072
2025-02-01,0.3743
2025-02-02,0.3333
2025-02-03,0.3457
2025-02-04,0.3136
2025-02-05,0.311
2025-02-06,0.297
2025-02-07,0.2988
2025-02-08,0.3091
2025-02-09,0.3042
2025-02-10,0.3132
2025-02-11,0.3071
2025-02-12,0.329
2025-02-13,0.3174
2025-02-14,0.3232
2025-02-15,0.3179
2025-02-16,0.3258
2025-02-17,0.3196
2025-02-18,0.3024
2025-02-19,0.3017
2025-02-20,0.3074
2025-02-21,0.2948
2025-02-22,0.2986
2025-02-23,0.2965
2025-02-24,0.2668
2025-02-25,0.2719
2025-02-26,0.2733
2025-02-27,0.2769
2025-02-28,0.2718
2025-03-01,0.2823
2025-03-02,0.3032
2025-03-03,0.2548
2025-03-04,0.2498
2025-03-05,0.2559
2025-03-06,0.2496
2025-03-07,0.2414
2025-03-08,0.2458
2025-03-09,0.2211
2025-03-10,0.2057
2025-03-11,0.2153
2025-03-12,0.2166
2025-03-13,0.2108
2025-03-14,0.2148
2025-03-15,0.2189
2025-03-16,0.2101
2025-03-17,0.2142
2025-03-18,0.2119
2025-03-19,0.2203
2025-03-20,0.2115
2025-03-21,0.2057
2025-03-22,0.2091
2025-03-23,0.2129
2025-03-24,0.2196
2025-03-25,0.2293
2025-03-26,0.2326
2025-03-27,0.2309
2025-03-28,0.2126
2025-03-29,0.2028
2025-03-30,0.2041
2025-03-31,0.2025
2025-04-01,0.2012
2025-04-02,0.1899
2025-04-03,0.1903
2025-04-04,0.1905
2025-04-05,0.1877
2025-04-06,0.1711
2025-04-07,0.1737
2025-04-08,0.1671
2025-04-09,0.187
2025-04-10,0.1822
2025-04-11,0.1827
2025-04-12,0.1902
2025-04-13,0.1826
2025-04-14,0.1824
2025-04-15,0.18
2025-04-16,0.1785
2025-04-17,0.1823
2025-04-18,0.189
2025-04-19,0.1914
2025-04-20,0.1912
2025-04-21,0.1999
2025-04-22,0.22
2025-04-23,0.222
2025-04-24,0.247
2025-04-25,0.2494
2025-04-26,0.2454
2025-04-27,0.2404
2025-04-28,0.2392
2025-04-29,0.236
2025-04-30,0.2377
2025-05-01,0.2398
2025-05-02,0.2396
2025-05-03,0.2298
2025-05-04,0.2293
2025-05-05,0.2233
2025-05-06,0.2181
2025-05-07,0.2188
2025-05-08,0.2505
2025-05-09,0.2526
2025-05-10,0.2745
2025-05-11,0.2549
2025-05-12,0.2551
2025-05-13,0.2596
2025-05-14,0.2493
2025-05-15,0.2355
2025-05-16,0.2383
2025-05-17,0.2316
2025-05-18,0.2417
2025-05-19,0.2327
2025-05-20,0.2321
2025-05-21,0.2423
2025-05-22,0.251
2025-05-23,0.235
2025-05-24,0.233
2025-05-25,0.2358
2025-05-26,0.2309
2025-05-27,0.2299
2025-05-28,0.2288
2025-05-29,0.2248
2025-05-30,0.2065
2025-05-31,0.2144
2025-06-01,0.2152
2025-06-02,0.2189
2025-06-03,0.2152
2025-06-04,0.2132
2025-06-05,0.1992
2025-06-06,0.2146
2025-06-07,0.213
2025-06-08,0.2104
2025-06-09,0.219
2025-06-10,0.2259
2025-06-11,0.2303
2025-06-12,0.2106
2025-06-13,0.2045
2025-06-14,0.199
2025-06-15,0.1988
2025-06-16,0.1993
2025-06-17,0.1943
2025-06-18,0.19
2025-06-19,0.187
2025-06-20,0.1826
2025-06-21,0.1731
2025-06-22,0.1727
2025-06-23,0.1811
2025-06-24,0.1844
2025-06-25,0.1778
2025-06-26,0.1729
2025-06-27,0.1748
2025-06-28,0.1785
2025-06-29,0.1849
2025-06-30,0.1888
2025-07-01,0.1771
2025-07-02,0.1882
2025-07-03,0.1873
2025-07-04,0.1795
2025-07-05,0.1801
